Closing Price,Percent Change,Volume,PEG Ratio,Short Ratio,Pct Change From Year High,Pct Change From Year Low,Pct Change from 50 day mAvg,Ratio of price to 1 yr target price
47.50,-0.21,31046,0.00,3.43,-11.20,49.32,-0.68,1.021505376344086
15.95,0.31,233575,1.79,1.04,-31.98,13.36,-18.88,0.7035730039700043
24.83,-0.24,200148,1.35,11.14,-21.22,34.36,-3.53,0.8912419239052405
9.16,-0.65,1393730,-3.56,9.88,-33.24,14.50,-4.42,0.9423868312757201
71.96,-1.77,190217,2.33,10.95,-9.98,120.20,7.43,0.9646112600536193
40.40,-0.86,166772,1.39,1.67,-9.92,48.61,-3.75,0.8244897959183674
77.53,-1.32,338455,1.35,9.55,-4.93,59.89,0.25,0.9651437818996639
1.18,-5.60,36975,-0.18,1.35,-63.12,0.00,-24.98,0.3933333333333333
377.55,0.50,365352,4.35,5.37,-3.46,28.40,-0.72,0.9075721153846155
1.43,5.93,40401,-0.06,0.68,-58.43,11.72,-11.62,0.286
33.65,-0.30,1125577,0.01,9.48,-54.07,70.47,-3.58,0.44670118146820653
26.85,-1.65,122,0.00,4.30,-17.00,33.65,-6.44,0.8136363636363637
10.45,-2.88,5660,0.50,3.24,-24.82,37.67,-13.81,0.7528818443804034
91.35,-0.38,101086,1.61,5.07,-2.19,47.74,3.15,0.961578947368421
31.67,-0.41,881352,2.36,4.03,-1.61,39.61,3.29,0.9974803149606299
81.825,-2.531,825216,2.740,8.450,-7.542,70.896,19.978,0.9671985815602838
28.83,-3.96,632154,0.61,0.54,-21.79,29.07,-12.00,0.7702377771840769
30.32,-0.39,7878,8.61,22.05,-3.10,37.69,9.61,1.516
0.819,-1.337,48499,0.000,0.720,-82.196,17.000,-4.375,0.009029768467475193
4.9875,-1.4328,1310,0.0000,0.3400,-38.1203,2.6235,-4.3571,0.5541666666666667
0.60,0.05,18082,0.00,3.63,-61.54,45.00,0.34,0.15
1.43,3.62,141690,-0.72,1.48,-82.28,37.50,-12.82,0.8937499999999999
22.27,-0.31,594111,20.97,14.70,-26.33,1.92,-12.24,1.0095194922937443
6.85,-1.44,369817,0.00,13.28,-41.40,17.09,3.11,0.5591836734693877
